,data_properties.twitter_followers,data_properties.facebook_followers,data_properties.instagram_followers,data_properties.ppp_country
315,14464,5332,1712,42609
316,14167,1793,1857,42609
317,14139,5656,3851,42609
318,14075,4509,1322,42609
319,14044,12875,6543,57467
320,1530,14017,573815,42609
321,474,1256,0,42609
322,261,0,308191,42609
323,3467327,7024772,2628995,42609
324,23271878,31462333,16997771,48730
325,7106714,12416212,18574025,48730
326,4071635,9177952,9830460,48730
327,4088102,9450413,5832199,48730
328,3033892,13303827,0,48730
329,2428411,3872004,5636302,48730
330,2105845,4128724,2414057,48730
331,1180528,2883343,7393483,48730
332,874597,2707618,2215158,48730
333,289332,6718670,4776588,48730
334,347345,225247,812002,48730
335,123235,2916200,859118,48730
336,110452,0,336295,48730
337,27312,0,1926314,48730
338,8802,1930102,3546960,48730
339,7922,134340,435848,48730
340,6710,0,60956,48730
341,6002,387271,1707725,48730
342,5373,175181,564004,48730
343,0,0,827,48730
344,1665,0,398531,48730
345,0,0,1233,48730
346,0,9564,298755,48730
347,3362876,6566696,2429445,48730
348,13276217,11019670,9696817,19934
349,8073242,4635193,5467655,19934
350,6873374,315987,0,19934
351,1271536,2991030,17781857,19934
352,613681,38210,556350,19934
353,388984,0,0,19934
354,209277,353196,410212,19934
355,537749,806161,0,19934
356,209644,0,446823,19934
357,200620,584367,708627,19934
358,150214,3378603,6694120,19934
359,160908,100913,1021012,19934
360,212247,90164623,96260793,19934
361,95986,18301,539860,19934
362,80900,1650,326977,19934
363,27490,7256,142040,19934
364,448,17494,201877,19934
365,0,42500,621116,19934
366,0,38853,797488,19934
367,0,15480,3274241,19934
368,0,8891,383688,19934
369,0,0,0,19934
370,0,0,141585,19934
371,3480652,4023324,2383952,19934
372,23554699,27028247,23971603,36305
373,18862291,19013394,16716751,36305
374,15225851,23725325,29148,36305
375,11559130,6839736,10070397,36305
376,4957599,3056784,14990833,36305
377,3795267,2436361,1066443,36305
378,3281600,3473802,4469378,36305
379,3319100,633366,4327,36305
380,2180479,1930531,4776359,36305
381,2151385,3677279,9782827,36305
382,2005061,3008134,2151714,36305
383,1313644,1979361,0,36305
384,13886,5615,1879,42609
385,13805,4322,1252,42609
386,13784,154972,24035,57467
387,13775,1515,822,42609
388,13721,0,369,42609
389,13661,7440,2759,42609
390,13641,438,933,42609
391,13499,1683,187,42609
392,13392,34286,14073,57467
393,13045,3426,1168,42609
394,12927,6274,1513,42609
395,12772,5324,3860,42609
396,12699,0,4178,42609
397,12574,5685,1070,42609
398,12374,1087,2654,42609
399,12181,11426,4336,42609
400,12066,6186,706,42609
401,11337,15532,2416,42609
402,11311,4034,0,42609
403,11038,16056,3101,42609
404,10983,7247,1383,42609
405,10945,1117,0,42609
406,10919,4017,0,42609
407,10813,2803,0,42609
408,10760,7640,1206,42609
409,10729,6453,2850,42609
410,10713,4444,732,42609
411,10657,14702,5086,42609
412,10344,2372,92,42609
413,10289,6000,4821,42609
414,10138,19208,5726,42609
415,10088,22299,6607,57467
416,10075,2556,172,42609
417,9586,5485,1904,42609
418,9526,934,1104,42609
419,9484,0,0,42609
420,9406,1808,599,42609
421,9182,0,1073,42609
422,9057,417,101,42609
423,9047,0,1150,42609
424,8769,1100,243,42609
425,8709,9938,5965,57467
426,8619,10010,4049,57467
427,8433,4479,0,42609
428,8308,5717,530,42609
429,8299,3382,977,42609
430,8277,0,727,42609
431,8259,3564,463,42609
432,8214,2705,0,42609
433,8206,9095,6978,57467
434,8093,1574,544,42609
435,8085,11787,1684,42609
436,7994,472853,100565,42609
437,7657,4053,1282,42609
438,7746,12092,0,42609
439,7517,14097,3096,57467
440,7447,5196,287,42609
441,7420,2228,1914,42609
442,7337,2363,1767,42609
443,7334,80705,0,42609
444,7218,5632,3181,57467
445,6903,1299,271,42609
446,6796,979,1110,42609
447,6781,2497,669,42609
448,908621,1302160,1907516,36305
449,894084,2723075,6242392,36305
